Date,East Midlands,East of England,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-05-07,313,396,271,199,508,418,180,369,458
2020-05-08,268,229,206,158,484,354,178,341,352
2020-05-09,176,202,127,151,344,248,106,163,245
2020-05-10,198,208,124,150,347,309,133,217,296
2020-05-11,308,390,159,229,529,482,255,250,426
2020-05-12,320,315,194,220,549,412,177,309,375
2020-05-13,298,329,204,143,523,484,176,244,404
2020-05-14,226,217,157,139,426,296,93,258,355
2020-05-15,252,210,131,137,392,262,103,263,336
2020-05-16,257,174,74,126,406,191,91,175,258
2020-05-17,203,153,79,98,303,223,97,172,244
2020-05-18,271,284,111,147,409,362,119,208,261
2020-05-19,293,254,131,123,581,385,108,278,387
2020-05-20,274,243,144,131,498,344,137,253,296
2020-05-21,281,246,158,130,427,303,88,225,383
2020-05-22,240,190,85,95,375,246,82,195,268
2020-05-23,164,149,65,75,288,121,41,148,235
2020-05-24,145,102,50,77,262,150,59,134,204
2020-05-25,192,147,57,60,268,188,61,138,253
2020-05-26,160,150,66,100,309,181,81,151,232
2020-05-27,197,149,84,115,294,203,104,194,254
2020-05-28,191,163,74,49,325,202,115,154,274
2020-05-29,170,161,57,70,303,163,73,156,200
2020-05-30,139,83,39,47,216,131,51,116,164
2020-05-31,149,61,38,46,234,134,62,77,176
2020-06-01,217,138,49,70,261,185,52,126,191
2020-06-02,219,131,49,59,286,221,51,126,197
2020-06-03,171,123,79,51,256,137,69,125,206
2020-06-04,143,93,57,60,238,158,65,137,178
2020-06-05,153,109,47,42,204,140,51,103,155
2020-06-06,105,93,46,28,132,85,23,77,121
2020-06-07,128,46,45,17,129,61,18,64,149
2020-06-08,173,95,56,33,165,124,23,120,188
2020-06-09,177,130,71,40,218,113,25,101,173
2020-06-10,166,118,53,38,224,126,31,92,226
2020-06-11,182,71,47,23,177,93,25,92,197
2020-06-12,174,66,53,40,168,85,19,76,247
2020-06-13,133,89,39,31,128,66,14,86,193
2020-06-14,145,73,31,31,148,72,9,75,159
2020-06-15,165,113,41,32,165,99,20,102,189
2020-06-16,161,107,46,18,211,95,15,104,216
2020-06-17,164,77,43,19,183,82,16,80,230
2020-06-18,169,83,46,23,178,75,13,83,257
2020-06-19,153,74,37,14,165,80,24,52,203
2020-06-20,145,31,28,17,118,65,8,48,162
2020-06-21,131,57,27,4,100,67,8,37,116
2020-06-22,177,74,51,24,159,78,19,67,156
2020-06-23,171,44,49,26,127,60,15,52,172
2020-06-24,173,61,46,11,159,44,16,54,157
2020-06-25,126,38,57,12,126,64,8,56,143
2020-06-26,114,59,48,8,105,66,12,69,152
2020-06-27,87,20,32,13,93,54,8,44,149
2020-06-28,78,25,22,9,95,46,11,26,97
2020-06-29,129,49,58,11,123,78,16,56,133
2020-06-30,129,34,52,11,103,56,18,51,112
2020-07-01,120,39,42,7,113,69,23,50,132
2020-07-02,105,63,40,9,97,61,11,54,104
2020-07-03,108,60,38,8,96,62,8,40,106
2020-07-04,84,42,32,9,71,29,9,23,77
2020-07-05,127,36,51,4,115,58,17,36,90
2020-07-06,139,56,53,11,142,45,23,53,120
2020-07-07,108,39,60,12,94,55,16,60,103
2020-07-08,110,76,57,12,115,82,15,65,126
2020-07-09,95,55,54,17,129,84,17,123,98
2020-07-10,99,50,40,10,87,75,13,43,92
2020-07-11,94,42,19,7,77,35,6,40,86
2020-07-12,46,34,37,3,54,31,5,38,98
2020-07-13,105,64,85,8,105,69,17,78,135
2020-07-14,89,81,62,12,109,59,19,71,133
2020-07-15,113,55,76,16,146,63,17,107,119
2020-07-16,92,61,70,15,150,63,27,65,86
2020-07-17,80,51,48,10,110,49,20,68,100
2020-07-18,63,28,48,4,106,54,12,51,97
2020-07-19,48,21,41,7,93,46,9,40,101
2020-07-20,82,81,97,11,164,87,23,83,115
2020-07-21,68,66,82,14,156,77,35,80,100
2020-07-22,88,54,81,16,208,77,30,78,103
2020-07-23,94,50,70,8,183,76,39,89,106
2020-07-24,82,79,83,7,158,64,34,78,108
2020-07-25,44,28,54,5,137,47,17,67,88
2020-07-26,38,26,65,6,158,37,20,66,91
2020-07-27,92,65,100,9,190,85,40,77,143
2020-07-28,76,56,99,5,200,65,34,89,149
2020-07-29,108,66,98,21,288,80,53,90,163
2020-07-30,109,52,102,15,222,63,63,80,141
2020-07-31,75,31,73,12,179,41,29,81,98
2020-08-01,69,22,58,9,158,30,9,54,81
2020-08-02,54,36,76,16,166,21,9,42,85
2020-08-03,108,68,87,19,299,76,43,88,144
2020-08-04,88,56,104,20,278,66,54,98,146
2020-08-05,114,53,114,30,261,65,40,93,157
2020-08-06,113,44,104,24,278,61,45,114,176
2020-08-07,91,70,121,15,239,54,42,106,120
2020-08-08,73,44,55,12,214,31,25,74,104
2020-08-09,72,23,67,15,159,29,15,77,97
2020-08-10,209,67,142,21,358,113,42,157,222
2020-08-11,176,47,149,45,310,77,41,165,184
2020-08-12,119,66,157,39,275,83,42,133,171
2020-08-13,109,61,124,53,236,76,53,117,179
2020-08-14,87,67,127,31,240,95,55,171,161
2020-08-15,55,31,105,18,156,46,25,96,108
2020-08-16,58,27,87,11,115,36,37,73,79
2020-08-17,138,63,189,32,282,109,48,138,126
2020-08-18,77,59,182,36,192,78,58,109,122
2020-08-19,101,63,152,46,254,115,69,118,140
2020-08-20,100,82,203,44,224,130,85,162,165
2020-08-21,101,63,166,42,209,110,64,105,129
2020-08-22,49,50,118,33,173,78,39,76,89
2020-08-23,52,52,143,23,117,85,41,82,92
2020-08-24,83,102,197,39,230,93,49,130,131
2020-08-25,73,101,169,49,213,90,50,142,135
2020-08-26,91,93,164,69,284,115,62,126,119
2020-08-27,84,122,229,66,288,127,57,143,199
2020-08-28,96,101,221,66,359,115,72,156,159
2020-08-29,49,79,137,78,245,101,50,113,168
2020-08-30,61,88,130,59,256,100,33,94,139
2020-08-31,87,101,214,91,261,117,57,127,192
2020-09-01,152,122,308,117,445,130,99,256,264
2020-09-02,250,170,334,132,659,209,123,336,368
2020-09-03,239,149,347,201,621,226,150,366,332
2020-09-04,182,122,355,173,631,232,134,422,307
2020-09-05,171,95,272,231,530,160,82,314,307
2020-09-06,139,80,204,173,571,180,78,318,297
2020-09-07,350,158,450,202,949,204,105,486,523
2020-09-08,313,166,331,224,857,192,81,426,374
2020-09-09,262,125,335,236,829,170,75,388,392
2020-09-10,213,165,392,237,902,211,92,385,455
2020-09-11,222,128,321,195,871,166,98,349,386
2020-09-12,144,83,230,152,754,139,63,292,312
2020-09-13,123,60,115,145,607,68,58,214,291
2020-09-14,200,136,296,196,1043,153,80,320,382
2020-09-15,206,144,267,262,1061,141,89,362,415
2020-09-16,245,144,299,319,1427,143,75,448,549
2020-09-17,243,146,319,369,1383,168,114,506,572
2020-09-18,260,212,381,458,1392,193,117,581,555
2020-09-19,251,144,354,424,1448,183,130,583,555
2020-09-20,257,173,411,567,1358,177,146,558,604
2020-09-21,291,169,418,591,1373,228,148,637,602
2020-09-22,245,194,490,513,1722,260,156,556,632
2020-09-23,217,147,408,535,1478,162,116,531,515
2020-09-24,151,113,201,397,889,107,79,271,394
2020-09-25,3,2,0,4,4,1,1,8,29
