Date,England,Northern Ireland,Scotland,United Kingdom,Wales
2020-03-11,0.0,0.0,0.0,0.0,0.0
2020-03-12,2.0,0.0,0.0,2.0,0.0
2020-03-13,1.0,0.0,0.0,1.0,0.0
2020-03-14,18.0,0.0,0.0,18.0,0.0
2020-03-15,14.0,0.0,,15.0,0.0
2020-03-16,22.0,0.0,0.0,22.0,0.0
2020-03-17,15.0,0.0,0.0,16.0,
2020-03-18,33.0,0.0,1.0,34.0,0.0
2020-03-19,42.0,0.0,1.0,43.0,0.0
2020-03-20,32.0,,3.0,36.0,0.0
2020-03-21,54.0,0.0,0.0,56.0,2.0
2020-03-22,24.0,1.0,1.0,35.0,9.0
2020-03-23,67.0,0.0,3.0,74.0,4.0
2020-03-24,143.0,1.0,4.0,149.0,1.0
2020-03-25,178.0,2.0,2.0,187.0,5.0
2020-03-26,169.0,2.0,6.0,183.0,6.0
2020-03-27,272.0,3.0,3.0,284.0,6.0
2020-03-28,279.0,3.0,8.0,294.0,4.0
2020-03-29,195.0,2.0,7.0,214.0,10.0
2020-03-30,353.0,6.0,1.0,374.0,14.0
2020-03-31,368.0,1.0,6.0,382.0,7.0
2020-04-01,613.0,6.0,22.0,670.0,29.0
2020-04-02,603.0,2.0,28.0,652.0,19.0
2020-04-03,655.0,6.0,29.0,714.0,24.0
2020-04-04,689.0,12.0,46.0,760.0,13.0
2020-04-05,578.0,8.0,46.0,644.0,12.0
2020-04-06,532.0,7.0,2.0,568.0,27.0
2020-04-07,1010.0,7.0,2.0,1038.0,19.0
2020-04-08,924.0,3.0,74.0,1034.0,33.0
2020-04-09,994.0,5.0,70.0,1110.0,41.0
2020-04-10,1038.0,4.0,81.0,1152.0,29.0
2020-04-11,746.0,10.0,48.0,840.0,36.0
2020-04-12,606.0,15.0,47.0,686.0,18.0
2020-04-13,694.0,11.0,24.0,744.0,15.0
2020-04-14,1013.0,6.0,9.0,1047.0,19.0
2020-04-15,732.0,10.0,40.0,842.0,60.0
2020-04-16,907.0,6.0,84.0,1029.0,32.0
2020-04-17,827.0,18.0,80.0,936.0,11.0
2020-04-18,1011.0,18.0,58.0,1115.0,28.0
2020-04-19,384.0,17.0,56.0,498.0,41.0
2020-04-20,539.0,1.0,10.0,559.0,9.0
2020-04-21,1123.0,13.0,12.0,1173.0,25.0
2020-04-22,739.0,13.0,70.0,837.0,15.0
2020-04-23,603.0,30.0,77.0,727.0,17.0
2020-04-24,825.0,13.0,58.0,1006.0,110.0
2020-04-25,741.0,15.0,64.0,843.0,23.0
2020-04-26,343.0,16.0,47.0,420.0,14.0
2020-04-27,307.0,5.0,18.0,338.0,8.0
2020-04-28,871.0,10.0,13.0,911.0,17.0
2020-04-29,632.0,20.0,70.0,795.0,73.0
2020-04-30,560.0,9.0,83.0,674.0,22.0
2020-05-01,654.0,9.0,60.0,740.0,17.0
2020-05-02,519.0,18.0,40.0,621.0,44.0
2020-05-03,246.0,11.0,44.0,315.0,14.0
2020-05-04,257.0,5.0,12.0,288.0,14.0
2020-05-05,657.0,6.0,5.0,694.0,26.0
2020-05-06,570.0,17.0,44.0,652.0,21.0
2020-05-07,425.0,14.0,83.0,540.0,18.0
2020-05-08,536.0,4.0,59.0,627.0,28.0
2020-05-09,283.0,4.0,49.0,345.0,9.0
2020-05-10,217.0,4.0,36.0,269.0,12.0
2020-05-11,191.0,5.0,10.0,211.0,5.0
2020-05-12,606.0,3.0,5.0,630.0,16.0
2020-05-13,415.0,9.0,50.0,496.0,22.0
2020-05-14,355.0,2.0,61.0,428.0,10.0
2020-05-15,336.0,5.0,34.0,384.0,9.0
2020-05-16,401.0,15.0,46.0,480.0,18.0
2020-05-17,113.0,4.0,41.0,170.0,12.0
2020-05-18,144.0,3.0,9.0,160.0,4.0
2020-05-19,523.0,6.0,2.0,548.0,17.0
2020-05-20,319.0,7.0,29.0,369.0,14.0
2020-05-21,274.0,5.0,50.0,338.0,9.0
2020-05-22,307.0,7.0,37.0,358.0,7.0
2020-05-23,250.0,3.0,24.0,283.0,6.0
2020-05-24,417.0,1.0,16.0,441.0,7.0
2020-05-25,105.0,1.0,9.0,122.0,7.0
2020-05-26,117.0,8.0,3.0,136.0,8.0
2020-05-27,414.0,0.0,18.0,443.0,11.0
2020-05-28,387.0,2.0,13.0,416.0,14.0
2020-05-29,349.0,2.0,12.0,373.0,10.0
2020-05-30,198.0,3.0,15.0,230.0,14.0
2020-05-31,81.0,1.0,22.0,115.0,11.0
2020-06-01,96.0,1.0,9.0,111.0,5.0
2020-06-02,317.0,1.0,1.0,326.0,7.0
2020-06-03,334.0,2.0,12.0,365.0,17.0
2020-06-04,150.0,8.0,11.0,177.0,8.0
2020-06-05,344.0,1.0,9.0,358.0,4.0
2020-06-06,182.0,1.0,14.0,207.0,10.0
2020-06-07,65.0,1.0,6.0,77.0,5.0
2020-06-08,52.0,0.0,0.0,55.0,3.0
2020-06-09,280.0,0.0,0.0,289.0,9.0
2020-06-10,234.0,0.0,7.0,250.0,9.0
2020-06-11,134.0,0.0,12.0,152.0,6.0
2020-06-12,188.0,1.0,5.0,204.0,10.0
2020-06-13,173.0,1.0,3.0,183.0,6.0
2020-06-14,26.0,2.0,5.0,36.0,3.0
2020-06-15,33.0,0.0,1.0,38.0,4.0
2020-06-16,228.0,0.0,0.0,236.0,8.0
2020-06-17,168.0,1.0,5.0,184.0,10.0
2020-06-18,122.0,1.0,9.0,137.0,5.0
2020-06-19,167.0,0.0,2.0,173.0,4.0
2020-06-20,122.0,1.0,6.0,130.0,1.0
2020-06-21,39.0,1.0,2.0,43.0,1.0
2020-06-22,14.0,0.0,0.0,15.0,1.0
2020-06-23,166.0,0.0,0.0,171.0,5.0
2020-06-24,141.0,1.0,4.0,154.0,8.0
2020-06-25,138.0,1.0,4.0,149.0,6.0
2020-06-26,182.0,0.0,2.0,186.0,0.0
2020-06-27,94.0,1.0,0.0,100.0,5.0
2020-06-28,33.0,1.0,0.0,36.0,2.0
2020-06-29,21.0,1.0,0.0,25.0,3.0
2020-06-30,151.0,1.0,0.0,155.0,3.0
2020-07-01,167.0,0.0,3.0,176.0,6.0
2020-07-02,80.0,0.0,1.0,89.0,8.0
2020-07-03,133.0,1.0,1.0,137.0,1.0
2020-07-04,59.0,2.0,1.0,67.0,5.0
2020-07-05,21.0,0.0,0.0,22.0,1.0
2020-07-06,16.0,0.0,0.0,16.0,0.0
2020-07-07,152.0,0.0,0.0,155.0,3.0
2020-07-08,121.0,0.0,1.0,126.0,4.0
2020-07-09,82.0,0.0,1.0,85.0,2.0
2020-07-10,48.0,0.0,0.0,48.0,0.0
2020-07-11,147.0,0.0,0.0,148.0,1.0
2020-07-12,21.0,-10.0,0.0,21.0,0.0
2020-07-13,11.0,10.0,0.0,11.0,0.0
2020-07-14,134.0,2.0,0.0,138.0,2.0
2020-07-15,83.0,0.0,0.0,85.0,2.0
2020-07-16,66.0,0.0,0.0,66.0,0.0
